# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	246674
#@/user_id	b6ca52f1-d1be-4cc2-9d07-aa8b3716d1d6
a 	吖	c=1 d=3.14571e-306 t=246674
bei zhi xing 	被執行	c=1 d=1 t=145892
bei zhu 	備注	c=11 d=1.23522e-92 t=246674
bei zhu ce 	被註冊	c=1 d=3.60551e-264 t=246674
bei zhua 	被抓	c=1 d=4.36513e-132 t=246674
bei zhua le 	被抓了	c=1 d=4.38701e-131 t=246674
bei zhuan fa 	被轉發	c=1 d=1 t=152941
bei zhuan huan 	被轉換	c=1 d=1 t=157433
bei zhuan yi 	被轉義	c=1 d=1 t=191836
bei zi 	杯子	c=1 d=2.32169e-262 t=246674
ben 	本	c=42 d=1.12995e-14 t=246674
ben 	笨	c=1 d=1.50295e-293 t=246674
ben ben 	笨笨	c=1 d=3.59778e-180 t=246674
ben cha jian 	本插件	c=1 d=1.5229e-66 t=246674
ben ci 	本次	c=3 d=1.37059e-91 t=246674
ben di 	本地	c=147 d=0.000280806 t=246674
ben di fang fa 	本地方法	c=1 d=8.59774e-47 t=246674
ben di hua 	本地化	c=2 d=1.13676e-53 t=246674
ben di jin cheng 	本地進程	c=1 d=1 t=157667
ben di suo you 	本地所有	c=1 d=1 t=154990
ben di zhang hu 	本地賬戶	c=1 d=1 t=168930
ben duan 	本端	c=3 d=2.10101 t=152052
ben gang wei 	本崗位	c=1 d=1 t=195162
ben gong si 	本公司	c=0 d=0.1 t=174704
ben gong si chan pin 	本公司產品	c=1 d=1 t=174705
ben ji 	本機	c=10 d=2.3655e-41 t=246674
ben jia 	本家	c=1 d=3.80521e-163 t=246674
ben jin 	本金	c=1 d=6.75386e-207 t=246674
ben ke 	本科	c=84 d=2.99688e-26 t=246674
ben kuang jia 	本框架	c=1 d=8.35243e-30 t=246674
ben lai 	本來	c=55 d=2.7745e-11 t=246674
ben lai shi 	本來是	c=1 d=2.96766e-297 t=246674
ben lai shuo 	本來說	c=3 d=5.39801e-159 t=246674
ben lai xiang 	本來想	c=1 d=3.75138e-260 t=246674
ben lei 	本類	c=1 d=2.39082e-78 t=246674
ben li 	本例	c=1 d=1 t=190252
ben pian 	本篇	c=3 d=1.29112e-06 t=246674
ben qun 	本羣	c=2 d=1.85075e-293 t=246674
ben ren 	本人	c=12 d=9.73951e-14 t=246674
ben ri zhi 	本日誌	c=1 d=6.73119e-285 t=246674
ben shen 	本身	c=48 d=1.36435e-08 t=246674
ben shen jiu xiang 	本身就像	c=1 d=1 t=191645
ben shi 	本是	c=2 d=2.06741e-74 t=246674
ben ti 	本体	c=2 d=1 t=221552
ben tiao 	本條	c=1 d=5.64761e-132 t=246674
ben wen 	本文	c=17 d=0.000372602 t=246674
ben wen zhong 	本文中	c=1 d=9.48428e-172 t=246674
ben xiang mu 	本項目	c=9 d=3.5472e-43 t=246674
ben yi 	本意	c=3 d=2.59736e-74 t=246674
ben yi wei 	本以爲	c=2 d=2.78463e-19 t=246674
ben zhan 	本站	c=4 d=1.21214e-165 t=246674
ben zhe 	奔着	c=1 d=1 t=242015
ben zhi 	本職	c=1 d=1 t=195205
ben zhi 	本質	c=1 d=5.54238e-146 t=246674
ben zhi gong zuo 	本職工作	c=1 d=1 t=195181
ben zhu ti 	本主題	c=1 d=1 t=215186
ben zhuan ye 	本專業	c=1 d=1 t=239818
beng 	崩	c=2 d=5.65627e-150 t=246674
beng bu 	蚌埠	c=0 d=5.20104e-252 t=246674
beng bu zhu 	蚌埠住	c=2 d=4.02857e-187 t=246674
beng hai 	泵還	c=1 d=1 t=189333
beng huai 	崩壞	c=4 d=6.92949e-68 t=246674
beng kui 	崩潰	c=6 d=9.8506e-06 t=246674
beng le 	崩了	c=3 d=2.07965e-40 t=246674
beng zhu 	繃住	c=1 d=3.02893e-214 t=246674
bi 	幣	c=3 d=1.90341e-131 t=246674
bi 	必	c=2 d=6.69273e-12 t=246674
bi 	比	c=35 d=1.27827e-06 t=246674
bi 	筆	c=2 d=4.5122e-256 t=246674
bi 	逼	c=6 d=0.470011 t=246674
bi 	閉	c=2 d=2.12922e-97 t=246674
bi bao 	閉包	c=11 d=2.3789e-129 t=246674
bi bi 	比比	c=1 d=1.13482e-223 t=246674
bi bu 	必不	c=0 d=8.74262e-215 t=246674
bi bu ke neng 	必不可能	c=1 d=3.08526e-79 t=246674
bi ding 	必定	c=3 d=3.29808e-98 t=246674
bi ding jiu shi 	必定就是	c=1 d=5.89637e-286 t=246674
bi ding shi 	必定是	c=1 d=4.047e-270 t=246674
bi dui 	比對	c=7 d=7.63901e-113 t=246674
bi feng 	筆峰	c=1 d=4.45169e-303 t=246674
bi ge 	畢個	c=1 d=1.05328e-140 t=246674
bi guan 	闭关	c=1 d=2.882e-276 t=246674
bi he 	閉合	c=16 d=2.30077 t=212683
bi hua 	比劃	c=2 d=2.03984e-274 t=246674
bi hua bi hua 	比劃比劃	c=1 d=9.78549e-275 t=246674
bi ji 	筆記	c=76 d=1.84834e-21 t=246674
bi ji ben 	筆記本	c=14 d=1.99609e-14 t=246674
bi jiao 	比較	c=112 d=0.794611 t=246674
bi jiao cha 	比較差	c=1 d=5.97302e-144 t=246674
bi jiao chang 	比較長	c=1 d=2.73127e-56 t=246674
bi jiao da 	比較大	c=2 d=6.94174e-30 t=246674
bi jiao di 	比較低	c=2 d=1.94046e-05 t=246674
bi jiao duo 	比較多	c=4 d=0.390628 t=246674
bi jiao gao 	比較高	c=1 d=2.53154e-280 t=246674
bi jiao gui 	比較貴	c=1 d=1.37621e-286 t=246674
bi jiao hao 	比較好	c=4 d=8.46109e-35 t=246674
bi jiao jian dan 	比較簡單	c=1 d=1 t=243758
bi jiao jiu 	比較就	c=1 d=1 t=219742
bi jiao nan 	比較難	c=1 d=1 t=240235
bi jiao qian 	比較淺	c=1 d=9.88671e-14 t=246674
bi jiao shao 	比較少	c=1 d=4.48536e-39 t=246674
bi jiao tu wu 	比較突兀	c=1 d=0.000135709 t=246674
bi jiao xiao 	比較小	c=2 d=1 t=203785
bi jiao zi xin 	比較自信	c=1 d=1 t=243680
bi jing 	畢竟	c=13 d=2.73474e-08 t=246674
bi kai 	避開	c=2 d=3.28466e-197 t=246674
bi li 	比例	c=2 d=1 t=216124
bi li 	比利	c=1 d=1 t=195013
bi mian 	避免	c=41 d=7.31258e-05 t=246674
bi mian li shi 	避免歷史	c=1 d=1.62971e-40 t=246674
bi ni 	比你	c=3 d=4.92701e-85 t=246674
bi qi 	比起	c=1 d=1 t=246516
bi ran 	必然	c=7 d=8.81389e-45 t=246674
bi ren 	逼人	c=1 d=6.98305e-276 t=246674
bi ru 	比如	c=226 d=3.18332e-05 t=246674
bi ru ne 	比如呢	c=2 d=2.32411e-98 t=246674
bi ru shuo 	比如說	c=3 d=2.32632e-21 t=246674
bi ru wen jian 	比如文件	c=1 d=1 t=148313
bi sai 	比賽	c=4 d=2.08832e-17 t=246674
bi sai a 	比賽啊	c=1 d=3.86143e-306 t=246674
bi she 	閉設	c=1 d=1 t=192385
bi shi 	筆試	c=15 d=1.00002 t=246405
bi shi le 	筆試了	c=1 d=1 t=243837
bi shou 	匕首	c=1 d=7.2285e-65 t=246674
bi te 	比特	c=3 d=1.73474e-40 t=246674
bi te bi 	比特幣	c=2 d=2.14425e-221 t=246674
bi te liu 	比特流	c=1 d=1.74337e-39 t=246674
bi wan yi 	逼玩意	c=1 d=1 t=193576
bi wen 	必問	c=1 d=1 t=243612
bi wo 	比我	c=13 d=2.01137e-21 t=246674
bi wo chang 	比我長	c=1 d=1 t=196641
bi xu 	必須	c=161 d=0.0917751 t=246674
bi xu an shu zhi di zeng 	必須按數值遞增	c=1 d=3.3461e-121 t=246674
bi xu cun zai 	必須存在	c=1 d=1 t=150453
bi xu di zeng 	必須遞增	c=3 d=1.06809e-120 t=246674
bi xu guan bi 	必須關閉	c=1 d=2.37139e-129 t=246674
bi xu jiang 	必須將	c=1 d=8.57554e-46 t=246674
bi xu pin 	必需品	c=1 d=3.78469e-217 t=246674
bi xu shi 	必須是	c=4 d=9.64393e-45 t=246674
bi xu xuan gao 	必須宣告	c=1 d=1 t=150265
bi xu xuan ze 	必須選擇	c=1 d=1 t=182652
bi xu yao 	必須要	c=7 d=1 t=244998
bi xu yong 	必須用	c=1 d=1 t=240588
bi xu you 	必須有	c=2 d=1.39255e-219 t=246674
bi xu zhi ding qi zhong 	必須指定其中	c=1 d=9.54705e-132 t=246674
bi xun 	比尋	c=1 d=1 t=179135
bi yan 	閉眼	c=2 d=3.81363e-189 t=246674
bi yao 	必要	c=14 d=1.6942e-26 t=246674
bi ye 	畢業	c=34 d=3.89951e-11 t=246674
bi ye le 	畢業了	c=1 d=1.7972e-132 t=246674
bi ye sheng 	畢業生	c=3 d=3.35819e-134 t=246674
bi ying 	必應	c=8 d=3.26485e-25 t=246674
bi yu 	比喻	c=1 d=2.67556e-137 t=246674
bi yuan 	閉源	c=4 d=1.87576 t=246674
bi yun tao 	避孕套	c=1 d=3.22984e-293 t=246674
bi zhe 	比着	c=3 d=7.08347e-150 t=246674
bi zhe 	閉着	c=2 d=5.74664e-160 t=246674
bi zhi 	壁紙	c=2 d=0.0109436 t=246674
bi zhong 	幣種	c=1 d=2.87398e-302 t=246674
bi zhong 	必中	c=1 d=1 t=221466
bi zuo 	比作	c=1 d=1.50186e-20 t=246674
bian 	便	c=1 d=2.12083e-81 t=246674
bian 	編	c=7 d=6.82628e-07 t=246674
bian 	變	c=22 d=1.65383e-07 t=246674
bian 	遍	c=6 d=3.43242e-09 t=246674
bian 	邊	c=15 d=2.0165e-16 t=246674
bian bai 	變白	c=1 d=4.55828e-111 t=246674
bian chang 	變長	c=2 d=1 t=239423
bian cheng 	編程	c=106 d=0.294486 t=246674
bian cheng 	變成	c=56 d=0.00882647 t=246674
bian cheng le 	變成了	c=4 d=1 t=219338
bian cheng si xiang 	編程思想	c=1 d=2.91649e-122 t=246674
bian cheng yu yan 	編程語言	c=2 d=3.59422e-139 t=246674
bian cheng zhi xing ren he 	編程執行任何	c=1 d=1 t=191661
bian cheng zhong 	編程中	c=1 d=1 t=207099
bian chi 	便池	c=1 d=4.75335e-104 t=246674
bian chi 	邊喫	c=1 d=4.77718e-104 t=246674
bian da 	變大	c=1 d=1 t=226123
bian de 	變得	c=6 d=7.92728e-16 t=246674
bian de 	變的	c=0 d=0.1 t=147300
bian de ke xing 	變得可行	c=1 d=1 t=191757
bian dei 	變得	c=4 d=6.52595e-68 t=246674
bian di 	變低	c=1 d=2.16397e-111 t=246674
bian dong 	變動	c=3 d=4.06613e-61 t=246674
bian ge 	變革	c=1 d=1 t=198811
bian geng 	變更	c=4 d=1 t=222168
bian guo 	變過	c=0 d=1.89565e-84 t=246674
bian hao 	編號	c=41 d=4.41504e-18 t=246674
bian hao 	變好	c=1 d=1.09728e-239 t=246674
bian hua 	變化	c=37 d=4.76434e-43 t=246674
bian hua shi 	變化時	c=1 d=2.78096e-121 t=246674
bian huan 	變換	c=2 d=1.43915e-77 t=246674
bian hui 	變灰	c=1 d=6.52019e-87 t=246674
bian ji 	編輯	c=31 d=1.14372e-21 t=246674
bian ji dao da 	編輯到達	c=1 d=1 t=149867
bian ji qi 	編輯器	c=17 d=5.95848e-29 t=246674
bian ji yong hu 	編輯用戶	c=1 d=1 t=174615
bian jiang 	邊疆	c=1 d=1.16358e-47 t=246674
bian jie 	便捷	c=2 d=1.96561 t=198875
bian jie 	边界	c=6 d=1.3343e-40 t=246674
bian jie 	邊界	c=12 d=1.79744e-17 t=246674
bian ju 	邊距	c=1 d=1.27251e-41 t=246674
bian ke 	便可	c=3 d=5.0985e-17 t=246674
bian kuang 	邊框	c=10 d=6.34212e-26 t=246674
bian le 	變了	c=5 d=2.98797e-54 t=246674
bian leng 	變冷	c=1 d=5.08575e-252 t=246674
bian li 	便利	c=7 d=0.00447164 t=246674
bian li 	遍歷	c=37 d=6.52616e-39 t=246674
bian li dao 	遍歷到	c=1 d=1 t=170259
bian li xiu gai 	遍歷修改	c=1 d=1 t=147395
bian liang 	變量	c=154 d=0.357007 t=246674
bian liang biao 	變量表	c=2 d=7.71285e-47 t=246674
bian liang ming 	變量名	c=1 d=1 t=142068
bian liang nei cun 	變量內存	c=1 d=1 t=191810
bian lun 	辯論	c=1 d=1.47057e-37 t=246674
bian ma 	編碼	c=110 d=1.20445e-12 t=246674
bian ma hou 	編碼後	c=1 d=1 t=184232
bian ma shi 	編碼時	c=1 d=1.23423e-64 t=246674
bian pai 	編排	c=2 d=3.34762e-15 t=246674
bian ren 	辯認	c=2 d=3.86218e-132 t=246674
bian ru 	編入	c=1 d=1 t=147614
bian shang 	邊上	c=1 d=1 t=236620
bian sheng 	變聲	c=1 d=3.5763e-139 t=246674
bian sheng qi 	變聲期	c=1 d=4.96421e-144 t=246674
bian tai 	變態	c=5 d=1.25191e-143 t=246674
bian ti 	變體	c=4 d=2.96862e-07 t=246674
bian tian 	變天	c=1 d=2.85127e-150 t=246674
bian wan 	邊玩	c=1 d=4.36753e-255 t=246674
bian wei 	變爲	c=9 d=1.1486e-71 t=246674
bian xiao 	變小	c=1 d=3.05407e-223 t=246674
bian xie 	便攜	c=0 d=0.1 t=213784
bian xie 	編寫	c=68 d=2.59352e-05 t=246674
bian xie de 	編寫的	c=1 d=9.66467e-129 t=246674
bian xie le 	編寫了	c=1 d=1 t=210167
bian xie ping 	便攜屏	c=1 d=1 t=213785
bian xie yi ge 	編寫一個	c=1 d=6.75632e-35 t=246674
bian xing 	變性	c=2 d=1.00029 t=222672
bian xue 	邊學	c=1 d=4.38943e-255 t=246674
bian yang 	變樣	c=1 d=2.10344e-42 t=246674
bian yi 	編譯	c=131 d=0.000295545 t=246674
bian yi 	變異	c=1 d=0.000148489 t=246674
bian yi bu liao 	編譯不了	c=1 d=1 t=180012
bian yi bu tong guo 	編譯不通過	c=1 d=7.03661e-72 t=246674
bian yi cheng 	編譯成	c=6 d=3.83254e-09 t=246674
bian yi chu 	編譯出	c=1 d=1.43802e-09 t=246674
bian yi chu lai 	編譯出來	c=1 d=1.8736e-63 t=246674
bian yi hou 	編譯後	c=2 d=2.41847e-125 t=246674
bian yi jin qu 	編譯進去	c=1 d=6.74604e-164 t=246674
bian yi le 	變異了	c=1 d=1.41104e-139 t=246674
bian yi ma 	編譯嗎	c=1 d=1 t=180007
bian yi qi 	編譯器	c=22 d=1.13087e-46 t=246674
bian yi qi 	編譯期	c=3 d=3.34653e-05 t=246674
bian yi qi hou 	編譯器後	c=1 d=1.64693e-46 t=246674
bian yi shi 	編譯時	c=13 d=2.50921e-29 t=246674
bian yi wei 	編譯爲	c=1 d=1 t=145876
bian yi yun xing 	編譯運行	c=1 d=5.14624e-09 t=246674
bian yu 	便於	c=2 d=1.75201 t=161269
bian yuan 	邊緣	c=2 d=1.05123 t=192972
bian yuan jie kou 	邊緣接口	c=1 d=1 t=192973
bian zhao 	邊找	c=1 d=1 t=236621
bian zhi 	編制	c=1 d=1 t=195369
bian zhi 	貶值	c=0 d=0.1 t=198938
bian zhong 	變種	c=1 d=2.20231e-288 t=246674
bian zou 	變奏	c=1 d=3.17125e-166 t=246674
bian zuo 	邊做	c=1 d=1 t=224581
biao 	標	c=8 d=0.0278757 t=246674
biao 	表	c=163 d=4.97746e-19 t=246674
biao bai 	表白	c=4 d=5.49746e-21 t=246674
biao da 	表達	c=24 d=3.72902e-41 t=246674
biao da shi 	表達式	c=78 d=2.16696e-50 t=246674
biao dan 	表單	c=12 d=1.57083e-18 t=246674
biao dian 	標點	c=5 d=7.02106e-46 t=246674
biao ge 	表哥	c=1 d=1 t=216158
biao ge 	表格	c=23 d=4.6353e-40 t=246674
biao hao 	標號	c=1 d=1 t=158770
biao hua 	表話	c=1 d=1 t=153853
biao ji 	標記	c=69 d=1.09672e-15 t=246674
biao ji hao 	標記好	c=1 d=1 t=152180
biao ji jie kou 	標記接口	c=1 d=2.15039e-37 t=246674
biao ji suo 	表級鎖	c=1 d=1 t=183517
biao ji wei 	標記爲	c=2 d=1.03435e-15 t=246674
biao ji zai 	標記在	c=1 d=1.15807e-285 t=246674
biao ju 	鏢局	c=1 d=7.99177e-187 t=246674
biao le 	標了	c=1 d=1 t=146419
biao liang 	標量	c=15 d=6.46266 t=148178
biao liang zhi 	標量值	c=1 d=1 t=147896
biao mian 	表面	c=2 d=1.36943e-81 t=246674
biao mian zhan lang 	表面戰狼	c=1 d=6.7914e-184 t=246674
biao ming 	標明	c=1 d=1.80556e-304 t=246674
biao ming 	表名	c=7 d=1 t=183785
biao ming 	表明	c=8 d=2.13559e-44 t=246674
biao ming tai du 	表明態度	c=1 d=1 t=197447
biao pian 	表片	c=1 d=1.93218e-131 t=246674
biao qian 	標籤	c=163 d=4.68607e-46 t=246674
biao qian de 	標籤的	c=1 d=1 t=149759
biao qian hao 	標籤號	c=13 d=4.67499 t=166014
biao qian ming 	標籤名	c=2 d=1.5975 t=177993
biao qian shi 	標籤時	c=1 d=1 t=165603
biao qian zhong 	標籤中	c=1 d=1 t=165592
biao qing 	表情	c=6 d=1.52165e-27 t=246674
biao sheng 	飆升	c=2 d=4.94666e-73 t=246674
biao shi 	標識	c=30 d=3.31782e-39 t=246674
biao shi 	表實	c=1 d=5.53471e-306 t=246674
biao shi 	表示	c=82 d=3.30763e-14 t=246674
biao shi bao han 	表示包含	c=2 d=4.00894e-119 t=246674
biao shi ceng 	表示層	c=3 d=1.4829e-40 t=246674
biao shi chu lai 	表示出來	c=1 d=1 t=238725
biao shi fang fa 	表示方法	c=1 d=1 t=150486
biao shi fu 	標識符	c=9 d=2.27423 t=179731
biao shi qian yi 	表示歉意	c=1 d=1 t=198588
biao shu 	表述	c=1 d=4.4412e-99 t=246674
biao tai 	表態	c=4 d=0.103855 t=198782
biao ti 	標題	c=13 d=1.47508e-56 t=246674
biao tou 	標頭	c=5 d=6.23458e-140 t=246674
biao xian 	表現	c=16 d=0.433874 t=246674
biao xian fang shi 	表現方式	c=1 d=1 t=147963
biao xian xing shi 	表現形式	c=1 d=3.47744e-74 t=246674
biao you 	標有	c=1 d=8.39267e-204 t=246674
biao zhi 	標誌	c=11 d=8.0315e-45 t=246674
biao zhi zhe 	標誌着	c=2 d=1.77492 t=150840
biao zhong 	表中	c=8 d=1.86266 t=184102
biao zhu 	標注	c=33 d=1.92412e-35 t=246674
biao zhu 	標註	c=0 d=0.1 t=146432
biao zhu zai 	標注在	c=1 d=2.90974e-36 t=246674
biao zhun 	標準	c=69 d=0.00296143 t=246674
biao zhun de 	標準的	c=1 d=2.77792e-20 t=246674
biao zhun ku 	標準庫	c=7 d=1 t=233970
bie 	別	c=19 d=5.84636e-39 t=246674
bie ba 	別把	c=1 d=6.32001e-220 t=246674
bie chu 	別處	c=2 d=1 t=161154
bie de 	別的	c=10 d=1.22303e-45 t=246674
bie fen 	別分	c=1 d=1.82413e-248 t=246674
bie gan 	別肝	c=1 d=1.0113e-132 t=246674
bie gei wo 	別給我	c=1 d=8.35569e-299 t=246674
bie guan 	別管	c=1 d=1 t=186111
bie jia 	別家	c=1 d=8.52504e-241 t=246674
bie jiao 	別叫	c=1 d=4.48154e-29 t=246674
bie kai 	別開	c=1 d=1.09066e-256 t=246674
bie kan 	別看	c=1 d=1.45784e-258 t=246674
bie lei 	別類	c=1 d=5.73106e-275 t=246674
bie ming 	別名	c=25 d=7.05277e-22 t=246674
bie pa 	別怕	c=1 d=2.70753e-306 t=246674
bie rang wo 	別讓我	c=1 d=4.94618e-160 t=246674
bie ren 	別人	c=100 d=0.0110076 t=246674
bie ren kan 	別人看	c=1 d=1.37344e-86 t=246674
bie shuo 	別說	c=1 d=2.82002e-138 t=246674
bie tian 	別天	c=1 d=1 t=237330
bie wen 	別問	c=1 d=1.70728e-87 t=246674
bie xiao 	別笑	c=0 d=8.33128e-295 t=246674
bie xiao wo 	別笑我	c=1 d=8.37304e-294 t=246674
bie xuan 	別選	c=2 d=4.0427e-140 t=246674
bie yong wang 	別用網	c=1 d=1.15719e-188 t=246674
bin 	濱	c=1 d=1 t=242335
bing 	並	c=230 d=0.00241057 t=246674
bing 	兵	c=1 d=1 t=216665
bing 	冰	c=3 d=2.70962e-81 t=246674
bing 	病	c=7 d=5.92563e-21 t=246674
bing 	餅	c=3 d=3.62144e-22 t=246674
bing ba 	並把	c=1 d=8.23289e-125 t=246674
bing bu 	並不	c=24 d=4.90526e-33 t=246674
bing bu bao zheng 	並不保證	c=1 d=5.89307e-15 t=246674
bing bu bei 	並不被	c=1 d=1 t=190046
bing bu dan xin 	並不擔心	c=1 d=1 t=199549
bing bu fang bian 	並不方便	c=1 d=1 t=222876
bing bu fu he 	並不符合	c=1 d=1.63607e-66 t=246674
bing bu fu ze 	並不負責	c=1 d=1.50954e-80 t=246674
bing bu guan xin 	並不關心	c=1 d=1 t=216915
bing bu hao 	並不好	c=1 d=7.31068e-286 t=246674
bing bu hui 	並不會	c=15 d=5.35208e-13 t=246674
bing bu neng 	並不能	c=6 d=1 t=222697
bing bu shi 	並不是	c=36 d=1.11653e-13 t=246674
bing bu shu yu 	並不屬於	c=1 d=1.20315e-205 t=246674
bing bu wan quan 	並不完全	c=2 d=7.87298e-11 t=246674
bing bu xiang 	並不像	c=1 d=1 t=144829
bing bu xu yao 	並不需要	c=2 d=1.06615e-77 t=246674
bing bu zai hu 	並不在乎	c=0 d=0.1 t=229818
bing bu zhi chi 	並不支持	c=3 d=1.09109e-55 t=246674
bing bu zhi dao 	並不知道	c=3 d=1.97845e-85 t=246674
bing bu zong shi 	並不總是	c=1 d=1 t=147832
bing bu zuo yong yu 	並不作用於	c=1 d=1 t=145059
bing chuang 	病牀	c=1 d=3.24734e-239 t=246674
bing chuang jian 	並創建	c=1 d=6.68731e-120 t=246674
bing du 	病毒	c=4 d=7.1985e-71 t=246674
bing fa 	併發	c=26 d=0.427415 t=246674
bing fa lei xing 	併發類型	c=1 d=1.09821e-102 t=246674
bing fa liang 	併發量	c=2 d=1 t=237122
bing fa shi 	併發時	c=1 d=7.41804e-46 t=246674
bing fa xian 	並發現	c=1 d=1 t=223360
bing fan hui 	並返回	c=1 d=1 t=142466
bing fei 	並非	c=11 d=1.12031e-13 t=246674
bing feng wang zuo 	冰封王座	c=1 d=1 t=215692
bing gao 	冰糕	c=1 d=5.18513e-215 t=246674
bing gao su ta 	並告訴他	c=1 d=1 t=198611
bing hao 	病號	c=2 d=1.956 t=221330
bing ji cheng 	並繼承	c=1 d=3.77171e-206 t=246674
bing jiang 	並將	c=3 d=1.05142e-31 t=246674
bing lie chu 	並列出	c=1 d=1 t=147119
bing mei 	並沒	c=1 d=1 t=231768
bing mei shi 	冰美式	c=1 d=2.7232e-80 t=246674
bing mei you 	並沒有	c=40 d=1.00435e-13 t=246674
bing mei you ti gong 	並沒有提供	c=1 d=1 t=148201
bing mei you yong 	並沒有用	c=1 d=1 t=145131
bing neng gou 	並能夠	c=1 d=3.52231e-19 t=246674
bing pai 	並排	c=1 d=6.33981e-198 t=246674
bing pao chu 	並拋出	c=1 d=6.05711e-132 t=246674
bing qi lin 	冰淇淋	c=1 d=1.11318e-173 t=246674
bing qian 	並前	c=6 d=1.34541e-20 t=246674
bing qie 	並且	c=183 d=0.249078 t=246674
bing qing li 	並清理	c=1 d=1 t=148387
bing shi yong 	並使用	c=1 d=1 t=166068
bing ti gong 	並提供	c=1 d=8.34337e-76 t=246674
bing tong ji 	並統計	c=1 d=9.07283e-209 t=246674
bing tong zhi 	並通知	c=1 d=7.19443e-127 t=246674
bing tu 	餅圖	c=3 d=1.10327e-156 t=246674
bing wei 	並未	c=6 d=6.37262e-53 t=246674
bing xiang 	冰箱	c=1 d=9.90468e-241 t=246674
bing xie 	冰蠍	c=2 d=1 t=246372
bing xing 	並行	c=12 d=2.511e-08 t=246674
bing yong 	並用	c=1 d=2.8968e-13 t=246674
bing you 	病友	c=1 d=1.98062e-187 t=246674
bing zai 	並在	c=7 d=2.68055e-12 t=246674
bing zhi chi 	並支持	c=1 d=1.09314e-77 t=246674
bing zhu 	病主	c=1 d=1 t=222878
bo 	博	c=4 d=9.59288e-12 t=246674
bo 	播	c=2 d=4.85826e-08 t=246674
bo 	波	c=5 d=5.76816e-24 t=246674
bo 	薄	c=1 d=1.46234e-118 t=246674
bo de 	博得	c=1 d=1.56062e-236 t=246674
bo dong 	波動	c=2 d=1.17511e-16 t=246674
bo duo 	剝奪	c=0 d=0.1 t=200786
bo fang 	播放	c=3 d=1.06091e-07 t=246674
bo fang zen me 	播放怎麼	c=1 d=1.13432e-159 t=246674
bo hao 	撥號	c=6 d=4.82565e-60 t=246674
bo ke 	博客	c=129 d=5.71999e-17 t=246674
bo ke de 	博客的	c=1 d=5.18143e-236 t=246674
bo ke xi tong 	博客系統	c=1 d=1 t=220938
bo ke yuan 	博客園	c=1 d=4.82323e-158 t=246674
bo lan 	博覽	c=1 d=1 t=210943
bo li 	剝離	c=1 d=1 t=149739
bo luo 	波羅	c=3 d=2.46159e-68 t=246674
bo mu 	波母	c=4 d=3.98655e-05 t=246674
bo mu chang di 	波木長笛	c=1 d=1 t=236425
bo ren 	伯仁	c=2 d=4.05359e-201 t=246674
bo ren 	博人	c=1 d=2.00673e-194 t=246674
bo shi 	博士	c=5 d=1.54277e-122 t=246674
bo te 	波特	c=0 d=9.0602e-223 t=246674
bo te bi 	波特比	c=1 d=9.10561e-222 t=246674
bo tong 	撥通	c=1 d=1 t=174422
bo wu guan 	博物館	c=2 d=7.4718e-219 t=246674
bo zhong 	播種	c=1 d=1 t=182722
bo zhu 	博主	c=2 d=1.75791e-166 t=246674
bu 	不	c=231 d=0.0011692 t=246674
bu 	布	c=5 d=2.10791e-72 t=246674
bu 	步	c=3 d=7.42534e-23 t=246674
bu 	補	c=13 d=7.09162e-46 t=246674
bu 	部	c=48 d=2.90232e-06 t=246674
bu ai 	不愛	c=1 d=1 t=203647
bu ai ni 	不愛你	c=1 d=1 t=209993
bu ai shi 	不礙事	c=1 d=1.13535e-111 t=246674
bu an 	不安	c=0 d=6.34474e-120 t=246674
bu an quan 	不安全	c=12 d=3.53635e-07 t=246674
bu an tui 	不安腿	c=1 d=6.37654e-119 t=246674
bu an yi 	不安逸	c=1 d=6.2238e-216 t=246674
bu ba 	不把	c=1 d=4.11879e-271 t=246674
bu ba ni 	不把你	c=1 d=1 t=243326
bu bang ding 	不綁定	c=1 d=9.02414e-87 t=246674
bu bao 	不報	c=0 d=9.49559e-187 t=246674
bu bao cuo 	不報錯	c=1 d=1 t=212513
bu bao han 	不包含	c=4 d=1.90198e-34 t=246674
bu bao kuo 	不包括	c=2 d=8.83671e-46 t=246674
bu bao lu 	不暴露	c=1 d=2.07813e-76 t=246674
bu bao ting 	不報停	c=1 d=9.54319e-186 t=246674
bu bei 	不備	c=0 d=2.92943e-175 t=246674
bu bei 	不被	c=3 d=1.26932 t=160524
bu bei fen 	不備份	c=1 d=2.94411e-174 t=246674
bu bei ren wei 	不被認爲	c=1 d=1 t=142489
bu bei shi yong 	不被使用	c=1 d=3.89967e-128 t=246674
bu bi 	不必	c=5 d=1.42515e-82 t=246674
bu bi 	不比	c=1 d=1.29994e-86 t=246674
bu bi duo shuo 	不必多說	c=1 d=8.71143e-172 t=246674
bu bi yao 	不必要	c=3 d=1.83662e-05 t=246674
bu bi yao shi 	不必要時	c=1 d=1 t=182567
bu bian 	不便	c=1 d=8.71284e-27 t=246674
bu bian 	不變	c=18 d=8.66938e-27 t=246674
bu bian yi 	不編譯	c=1 d=3.29284e-285 t=246674
bu biao zhu 	不標註	c=1 d=1 t=146433
bu bing fa 	不併發	c=1 d=1.44843e-35 t=246674
bu bo duo 	不剝奪	c=2 d=1.86502 t=200816
